,sadness Tweets
944,The Covid19  pandemic presents a doubly complicated  situation  for older people Not only are they at higher risk of developing severe infections and die from it but they are also the most likely to and suffer from the consequences of social distancing  https tribalqoxuLEc  
945,During this difficult  situation  where the whole world is affected by  COVID19  this is not fare to take semester exams with 7000 cases in the state  We want general promotion rgpvspreadingcoronavirus        chouhanshivraj  DrRPNishank  aajtak  abpnews  ndtv   saurabhtop
946,Who says its not  lockdown  but trials for MasterChef  India   Lockdown4  Lockdownextention  LockdownEnd
947,UK Twitter I am sorry for your weird  situation  Try to look after each other COVID19
948,Even in this pandemic   situation  due to COVID19  some of the institution  Sending the Notification to pay their Fees  like this This is to inform all the students that you can clear your dues before 31st May 2020 PLEASE HELP USugcindia  PMOIndia  HRDMinistry
949,Youre not solving the COVID19   situation  Youre simply letting it ride Do you realize we are approaching 100K Americans lives lost in a mere few months Do u even care   I dont think so You squandered away the critical window to stop the carnage Horrible time for the USA
950,Sadly a lot of organizations and think thanks to keep themselves employed or to gain funds Say different things will happen once  COVID19   situation  has ended
951,It’s clearly seen that  Covid19  worse than Pearl Harbour 911   well said Mr President and china should to pay for making this horrible  situation
952,I think causes of this pandemic  situation  of  covid19 
953,Congres is too wicked for india   Covid19   situation  will make it difficult for bjp but its 4 yrs to recovery
954,Difference between  lockdown  and  unlock  in  India  Sad truth    pictwittercomhCTn4JlDgz
955,Still grinding despite the  situation  of the  covid19   pictwittercomDtrpzdEsDN
956, Pakistan  is at 15th spot in most affected countries of COVID19  Ministers are saying that death rate is blow than they had estimated Now who is responsible for this  situation  Who will own the blame  leadership or people CoronaFreePakistan
957,The outbreak of Coronavirus disease has created a  situation  of standstill for everyone across  This video talks about how to deal with the pandemic  situation  and take care of our mental health    https youtube8rfCv03IkYk     Mentalhealth  COVID19  MentalHealthAwarenessMonth
958,With 4200 new cases today   India  reached 95000 COVID  19  infections  Today is end of Lockdown3  The harshest lockdowns anywhere in the world  Harshest for the poorest of poor  Something is seriously wrong We all know it But we have no means to ask question or examine
959,Hey JoinZOE  KingsCollegeLon  been reporting Covid19  symptoms since day 1 Just saw the appeal for donations Thanks for the hard work Are we going to learn about mental health issues and other side effects of the lockdown Id donate to get a holistic picture of the  situation
960,My student visa  extension  was rejectedlost job and suffering from disc degeneration with annular tearneed immediate medical treatmentI request Govt of  India  to arrange flight from Sydney to  India  immediately during this  lockdown 
961,எவைகளுக்கு அனுமதி எவைகளுக்கு அனுமதி மறுப்பு கொரோனாவைரஸ்  Tamil  TamilNadu  BREAKING  LockDown   CoronaVirus  India  lockdownindia  CoronavirusOutbreak  Lockdown  Lockdown2    httpswww tamilannewzcompagescentral governmentannounceslocdownupdates   …
962,Seriously Tabhlighi incident which resulted  Covid  spike in  India  already resulted GRAVE economic loss situation that will remain for longtime due to  lockdown   extension  in addition to pressure on health sector and risking life of Doctor HCWs and their FamiliesSupportModiji
963,I usually try to keep it pretty light on Twitter but sad to share that I was officially laid off due to  COVID19  today   Nothing but good things to say about my time at LatticeHQ     My heart hurts for anyone thats been put in a  situation  like this
964,I speak to many people daily   Suddenly the mood has shifted  The COVID19   situation  has gone from novelty to irritation to anger to depression to despair   Be very careful  pictwittercomTGpOG5ae0k
965,AT LAST we can assist you once again  greatly reduced rates  convenient  situation  and COVID protocol in place Cant wait to host you covid19  essentialworkers  guesthosue  CapeTown  SouthAfrica  coronavirus pictwittercomRuh6l88UQQ
966,TodayModi announced the  extension  of the  lockdown  bt again failed to address the issue of migrant workrsThere r crs of poor ppl who r stuck in differnt cities of  India they wr waiting for  lockdown  to b lifted todayso that they cud go back to their families भाषणहैराशननही
967,Requesting to wave the cctv certificate fee while renewing the trade license I have to borrow money from friends to renew the license because there is no business  due to  covid19   situation  Please oblige
968,I guess the limitation of the download speed is tied to the current  situation  with the  COVID19  crisis When things go back to normal after the crisis is over there shouldnn´t be the limitations Also depending on the time of the day and where the next server to your place is  1
969, CancelAUExamsTN   Please cancel Anna University exams We were in toughest  situation  of pandemic  covid19  virusso government should cancel it Students are not your slaves
970,Kindly propose your bailoutstimulus plan for business as well as vulnerable families during this  Covid19  period Im running small businesses and weve been hit very hard by this  situation  We need to see what you are thinking This is very important
971,Its deeply saddening to experience the impacts of Cyclone Amphan in our region which has badly affected Bangladesh aggravating the already challenging  situation  of the COVID19  pandemic It highlights the urgency of addressing ClimateChange  Our prayers are with those affected
972,Ill be honest  Today was tough  Thats 8 weeks away from the crew in the office and I miss it badly    The real strength starts now   The quitters will fall off the rails  Reality of the  situation  is going to kick in at week 12    Chin up  COVID19  remoteworking
973, UmemeLtd  with your poor quality services what do you lose if you let Ugandans cossume electricity for free for atleast 2 weeks in this  situation  havent you taken enough from Ugandans COVID19UG  COVID19
974,Lockdown  has already killed jobs at an unprecedented scale millions have been pushed back into poverty  Lockdown   extension  will further wreck the economy Where is the unemployment going to be then 30    India  will go back years because of this  lockdown  lockdownextension
975, ममतासरकारबर्खास्तकरो  The worst govt amid wuhanvirus   covid19  pandemic TMC making west Bengal another Kashmirthe  situation  today getting worse than ever Politics is much bigger than country for TMC
976,EPAAWheeler  Gutting science during an unprecedented pandemic makes a mockery of the grave  situation  our nation currently faces 30 more days for public comment doesn’t change that Halt your attack on Americans’ health until after we’ve dealt with coronavirus  COVID19
977,Mr HESharifShAhmed   shame on you remember what you have done when you were president in 2011 Today the world is suffering from Covid19  and you never talked about the severe  situation  in our people while you are talking nonsense TheVillaSomalia  SomaliPM  MofaSomalia pictwittercomkXbIG7qyxC
978, CoronaVirusindia  COVID  situation  in Delhi under control says CM as govt readies more beds across private hospitals CoronaVirus  Covid19  pandemic  CoronaVirusUpdate  delhi  hospital
979,Whats common between Govt of  India  and Crime Patrol Both place the onus of सावधान रहें  सतर्क रहें on the people since nothing can be done to reduce crime or  COVID  19  Lockdown5
980,Today PM Modi announced  extension  of  lockdown  but again failed to address the issue of migrant workers Crores of poor people stuck in different cities of  India  and are waiting for  lockdown  to be lifted today so that they could go back home to their families  Lockdown  is imp
981, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomjL8ce8b4sP
982,Its the worst bank ever seen infact many other small banks are good HDFCBank  is just shielding themselves and taking benefit of the  situation  for not helping customers mentioning due to lockdown and  COVID19  Unresolved query since last 1015 days RBI  insensitive  worst
983,Covid  19  Bihar govt seeks  extension  of  lockdown  till end of May   India  News – Times of  India   https decenthomeincovid19bihar govtseeksextensionoflockdowntillendofmayindianewstimesofindia   …
984, Lockdown2  If  India s testing rate of 149 per millions is similar  to that of Laos 157 Niger 182  Honduras 162 we have a mountain to climb Why are we  doing so bad in tests despite all resources and 3 weeks  lockdown 
985,How much revenue has Ontario lost Finance Minister Rod Phillips says look for the update in August March update cited a loss of 6 billion but Phillips says obviously the  situation  has evolved onpoli  cdnpoli  covid19
986,AIB announced expected credit loss of €210m for Q1 reflecting changes in the economic  situation  New lending down 11 COVID19  AIB
987,PLEASE READ The current geopolitical  situation  is leading us to two outcomes  one bleak OR cooperation  hard slog to recovery The Prime Minister of Singapore consistently lays it out so clearly COVID19  EconomicRecovery  GlobalUnity  ForeignAffairs httpswww foreignaffairscomarticlesasia 20200604leehsienloongendangeredasiancenturyfbclidIwAR2UzXPcGVCmGq0fPpfRQLolHrPfU5BgbFnixZLGvh9oCqvQTSYZuP6kM4   …
988,I’m contemplating the Covid19   situation  and my relationship to it I have multiple medical issues that would make for a bad outcome if I contract this virus If intubated will my care staff know I’m a very nice  funny guy Will I live to be removed from the ventilator ɮʊ∂∂ყ
989,Tested Negative for Covid19  we were allowed to travel to  India  As a responsible citizen  keeping in mind that our families would even be affected we have agreed for the 14 days Quarantine period But this  extension  will lead to loss of our
990,Coronavirus is spreading in USA because mostly ignorant people Many are shopping and mask is on the chin and breathing out Very dangerous  situation  Mostly illerate low class lives COVID19
991,I totally agree There’s a  situation  vaguely similar in the UK not in how the person died but how they apparently did die   there was a worker who was spat at by someone claiming to have COVID19  and a week later she died but apparently reports suggest that wasn’t the true cause
992,As more people go about their daily routines there are no zerorisk activities that can be undertaken in any  situation  where people gather which is why actively seeking out testing was significant COVID19   coronavirus  SouthKorea http mkoreaheraldcomviewphpud20 200529000658   …
993,average new cases per day over the last 2 weeks are around 23000 in the USA  So yeah These protests are also potential “superspreaders” now for COVID19  Be careful out there No one wants to grieve the loss of a loved one on top of this Horrible  situation  
994,Well in that case be mindful of the  situation  I stopped by my local EDD office and one of the workers got  COVID19  so they all have to work from home I dont see why screaming kids in the background is a problem You were one yourself or you so old that you forgot Humanity
995,Working in hospitals these days is a Jihad Throughout my active symptomatic phase and after that I remained worried about being a carrier of the disease Who knows whose COVID19  can cause whose death  The least one can do in such a  situation  is to be empathic
996,Several reports and analysis already show the lack of sufficient testing in TS Underreporting of cases deaths  low testing only makes the present  situation  further worse High time TelanganaCMO   TelanganaHealth  looks into it Covid19  Covid19India  Telangana https twittercommahiitha24sta tus1259855364759130112   …
997,Definition of epicentre in this instance the central point of something typically a difficult or unpleasant  situation  Covid19  both difficult and unpleasant Id say
998,Government should give free home rent  who living in rented home and electricity  billsmiddle class family and poor family who cannot afford to pay in this  situation   noincomenopay  india  lockdown  stayathome  COVID19  peaceworld   WaiveOffElectricityBill pictwittercomswA9A34QGn
999,Day 99  situation  coronavirus  italy                       232248 cases 516                 since yesterday  33229 deaths 87    152844 healed 2240  CoronavirusOutbreak   CoronaVirusUpdates   COVID19  Covid19  COVIDー19   covid2019  COVID19
1000,Wearing of masks is very crucial that separates between life and death under COVID19   situation  Please dont ignore   https twittercomNANDINIstat us1269837192450301952   …
1001, CancelTNSemesterExams  Please cancel Anna University exams We were in toughest  situation  of pandemic  covid19  virusso government should cancel it Students are not your slaves
1002,After two months of  Covid19   Situation  in Sri Lanka I like to know what you feel when you hear new patient Numbers now  lka  coronavirus  COVID19
1003, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomXUlyshO3Mv
1004,Oh God Please help usThe  situation  will be worst if it continues like thisNow we are taking away  COVID19  affected people from good peopleThe  situation  will come we will be taking away good people from  COVID19  affected peoplePMOIndia   NaveenOdisha  
1005,Your creditors should be able to understand the difficult financial circumstances you are facing as it is likely they are in the same  situation  This is why open and honest communication is vital via UKTMA  Coronavirus  COVID19  Business   https tmaukorgnewsarticleh owcanidealwithcreditorpressureduringthecoronaviruspandemic   …
1006,That would have more helped in  balancing the  situation  of social distancing and revenue generation both  This wouldnt hampered the current  situation  Coz after this there might be chances of getting affected by  Covid19  if people coming out and not maintaining the Q
1007,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression    Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK       http peopledevelopmentmagazinecom   pictwittercomVaY2A8a87d
1008, PMOfIndia  NarendraModi  UddhavThakre  Jalgaon District  Covid19   situation  getting worse Local administration failed miserably 85 new cases in 7 days please look into it Help Us
1009, covid19   increased poverty and in this  situation  middle and lower class families of Sindh are unable to pay universities fees of their children SayNoToUniversitiesFees  ImranKhanPTI  MuradAliShahPPP
1010,3 Right now there are 900 people w COVID19  in detention With s on the rise  ICEs failure to provide adequate testing  PPE the  situation  is grim Just last week Carlos Ernesto Escobar Mejia  Oscar Lopez Acosta tragically died from the virus while in ICE custody
1011,This is how Mumbaikar’s are missing Local Trains during  Lockdown   Lockdown2  MumbaiLockdown  mumbailocal  maharastra  COVID2019  India   pictwittercomYmaS37NwqB
1012,There was a time when I was proud of  KDMCOfficial  while growing up in Dombivli which i still call my home Covid19  has exposed their inefficiency and incompetency like never before 700 cases in KDMC limits alone What is administration doing  Situation  gng frm bad 2 worse
1013,Mumbai  situation  is bad One of my friend’s mother died of  COVID19  but there is no test done for his whole family even after repeated follow up Simply they said no symptoms showed means no testing He and his family is under self quarantine
1014,Wir dürfen die Corona  Situation  in weniger privilegierten Ländern nicht aus den Augen verlieren covid19    httpswww tagesschaudeauslandcorona virusperu101html   …
1015,The number of COVID19  patients are increasing everyday  Situation  has become worse In this direction more lives can be saved from getting infected by cancelling exams of the students  WaiveFeePromoteStudents
1016,COVID19  has exposed that “populists” don’t care about their population  The USA Brazil  the UK are the worst performing countries against the coronavirus  Don’t let them confuse the  situation  with propaganda  distortions  Trump Bolsonaro  Johnson need to be held accountable
1017, VirginiaCrosbie  YnysMôn  VirginiaCrosbie  We have less than 3 weeks to arrange an extension to the EU transition Only a fool or a crook would not want to do this given our  situation   economy already devastated by the Covid19  pandemic Common sense says it MUST be extended
1018,“It’s really a pretty dire  situation  that’s hard in good times and then when something like this happens  ICYMI  UAgradcoalition  organizes amid coronavirus  calls for transparency  consideration in the University of Arizona s COVID19  response    httpswww koldcom20200506uni versityarizonagraduatestudentscalltransparencyconsiderationcoronavirusresponse   …
1019, makemytrip   like to cancel my booked flight from Ahmedabad to Lucknow on 20 may as lockdown  situation    Covid19  I have already sent message through app but didnt work  phone number not connecting  Kindly do cancel and refund the amount
1020,My heartfelt condolences to the families of the soldiers who laid down their lives in the line of duty at the IndiaChinaBorder   This is a grim  situation  and the last thing that should be distracting the country during our fight against COVID19   https twittercomsunetracstatu s1273506740034605058   …
1021,Even after overcoming the covid19  situation  well have to maintain the PPEs in our daily life for further facing any kind of bad type of diseases in future Bangladesh  covid19  UNEP    UNDP    UNICEF    UNICEFBD    bbcbangla
1022, BSNLJK  BSNLCorporate   My wifi isnt working since 3 days Received complaint number 1050175157  technicans number which is switched off since morning I got to WFH Please suggest how to proceed with COVID19   situation  in consideration Restore4Ginjammu  bsnl
1023,Who wants lockdown if  situation  is like this Its a blind decision from Govt and its failure of every citizen who is not contributing or helping this migrant workers  SHAMEFUL FEELING GUILTY AS A FELLOW INDIAN  COVID19INDIA   COVID19
1024,16 cities shut down in Iran  due to COVID19   The  situation  in Khuzestan Province is described as critical  the mullahs’ regime has been forced to shut down 16 cities Hospitals are full of new COVID19 patients  many are in very dire conditions   https englishmojahedinorgiirancoronav irusnews42100deaths20200516   … pictwittercomITac6aqHoX
1025,BorisJohnson  What we want is Dominic Cummings to be fired Why won’t you listen He admitted he has made errors of judgement in his handling of the  COVID19   situation  he admitted poor judgement about his Durham trip YOU are showing poor judgement now You cannot be trusted
1026,Patient 91 British pilot confided to the doctor about his family  situation   He claimed that without a family without a father or a sibling his mother died Vietnam  COVID19   pictwittercomNRtNsFArKp
1027,Screenshot GundaGardi of GoAirThis is real face of Indian Companiesgoairlinesindia  I stay in Mumbai  GoAir forcing me to travel in this  COVID19   situation  by not givin refund of canceled flights in lockdown Help HardeepSPuri  ChouhanShivraj  ShivSena  OfficeofUT  MoCAGoI pictwittercomDpwrhceYtd
1028,Deliberate move to fail  lockdown   extension  they are repeating what they did in Delhi This is going out of control like this Maharashtra will go for lock down till 2021 Central government of  India  please help Mumbaikar please help Maharashtra NarendraModi  AmitShah  HMOIndia
1029,Why are we comparing ourselves to Italy We both have terrible numbers Trying to make comparisons to another tragic  situation  is of no comfort Fucking stop it BBCNews  and ask why we live in a country with such high  Covid19  deaths and ask if any were avoidable
1030,Alright Im talking about how we should react to the  situation  we are facing right now ie  covid19  related  situation  race issue around the globe   Yes I understand everyone is having a hard time during this  situation  Plus we care about any covid related policies
1031,Coronavirus  warszawa naszemiasto pl reports a very bad  situation  in Warsaw with crowd in public transports Nobody follows the rules anymore  https beautifulwarszawahomeblog20200506tra nsportscoronavirus   …  warszawa  warsaw  poland  polska  metro  tram  bus  ztm  publictransport  crowd  rules  coronavirus  covid19
1032, IndiaWantsSurpriseAgain   DG ISPR said India plans aggression against Pak in next few months to divert the worlds attention from its failures and embarrassment on multiple fronts border issue with Nepal mismanagement of  covid19   dwindling economic  situation  TheTeamPatriot
1033, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomY59FWEKog2
1034,They are inforcing for paying the college fees without it they will not even forward the form from the institution  So I want to ask ChouhanShivraj  INCIndia   Students who cant pay due to  covid19   situation  hisher full semester will be wasted who is responsible PMOIndia pictwittercom5ZLpnAcqIN
1035,COVID19  SITUATION  UPDATE   16658 cases of COVID19  in Nigeria  573 new cases of COVID19   Discharged 5349 Deaths 424  pictwittercomxEJIdhLecU
1036, GTPLHathway  i am leaving parasnagar naranpura ahmedabad and here are channel condition are very bad we are facing long long time problem and now this  covid19   Situation  and cable operator only come here for monthly payment and any problems are not solve please help us  pictwittercomBM8LOpFvTc
1037,The US has tested 8894 per Mn the UK  has 5416 per Mn and India  has 149 per Mn It doesnt make sense to compare our crisis with others We can just get rid of the COVID  19  problem by not testing but it doesnt work that way Lockdown2  will be different only if we speed up
1038, myogiadityanath  Sir pls help   Meerut citys DM  CMO are unable to handle the  situation  here hiding facts too Hotspots are not being sanitized patients in Medical college are not being treated properly Such a big city requires serious attention PMOIndia  COVID19
1039, BorisJohnson  We now have more that 30000 deaths as a result of COVID19  What we now need are clear answers to how we have found ourselves in such a terrible  situation  Weve had empty promises from MattHancock  for several weeks and dont need another testing target
1040,Very grave  situation  is currently prevailing in Balochistan Thousands have succumbed to  Covid19  It is under reported by both the Gov and the people themselves  Our People prefer risking lives of others than having less people in the funerals
1041,It is possible that the breathing problem could be related as well to covi19 infecting his lungs We are not the judge and jury in this  situation  George Floyd was very sick with diseased lungs Many black people are dropping dead from lack of oxygen due to  covid19 
1042,It is very very pathetic if this is the  situation  in private labs then what will be happening in govt testing facilities we can understand ArvindKejriwal  msisodia  drharshvardhan  ABPNews  COVID19  DelhiFightsCorona  COVID19India  ndtv  RepublicBharat
1043,Covid19  infection isn’t a binary  situation  where 2 die and 98 live happily ever after It’s a nasty disease often requiring medical care pharmaceutical support O2 supplements etc and I’m not even touching the socialfamily issues the young people might suffer from  https twittercomSherriSantosMS Nstatus1264685911314444294   …
1044,For the first time Barclays cuts  India s GDP forecast to zero from 25 percent earlier citing  lockdown   extension     mumbaimatterz  Lockdown2   httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …
1045,INCIndia  president Sonia Gandhi came down heavily on the govt over the COVID19   situation  in the country on Friday and alleged that it has abandoned any pretence of being democratic and forgotten the spirit of federalism  httpswww outlookindiacomwebsitestory indianewseconomicpackagecrueljokeoncountrysayssoniagandhiatoppositionmeet353322   …
1046,The current  situation   covid19  China Nepal Pakistan conflicts economic slowdown and undue and false propaganda from our well wishers withinmainly Congress will make the government of the day very very strong and they will get the nation sail through and bounce back
1047,EPAAWheeler  Gutting science during an unprecedented pandemic makes a mockery of the grave  situation  our nation currently faces 30 more days for public comment doesn’t change that Halt your attack on Americans’ health until after we’ve dealt with coronavirus  COVID19
1048,The school environment were very bad before  Covid19  arriveOn monday was watching the news think Mpumalanga where they showed Toilets of which were in very bad  situation  and could cause harmful to the health of learners But thats not an excuse now cause that thing was ther lon
1049,This really is an even more drastic  situation  what with COVID19   We have lost our jobs and still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us like criminals  Stoptheloancharge
1050,Dear CMOMaharashtra  your partner is already dumping you for the Covid19   situation  in the state The whole responsibility will be on your shoulders So please take strong decisions without worrying about pleasing such a dumb partner  https twittercomMeghaSPrasads tatus1265223044085067777   …
1051,Indian govt is lifting the  lockdown  when  india  has almost 2 lakhs corona  cases still hasnt reached its peak yet and with continuous movement of Migrants  Govt is again Clueless like it was in Demonetization  Lockdown5  Unlock1   IndiaFightsCoronavirus   6YearsIndiaInTears
1052,1 June COVID19   Situation  Report from WHO   122917 new confirmed cases  4000 deaths in last 24 hours    120 vaccine candidates mapped for Solidarity Trial    WHO has delivered 55 tons of medical supplies to Syria amid coronavirus  pandemic     https bitly3eLJr5T   pictwittercomAH0PPPLbVx
1053,Disappointed but not surprised to see Sherry Rehman push the lives vs livelihoods narrative as if a lockdown is the singular solution to the COVID19  crisis Everyone gets that there are no good alternatives and this is the ultimate rock and a hard place  situation 
1054,Death toll due to  COVID  19  rises to 2415 cases climb to 74281 in  India  CoronaUpdatesInIndia  COVIDー19  Lockdown4   pictwittercomV6qD5VSthd
1055,Keeping the prevailing COVID19   situation  in mind administrative reshuffle needs to be done Odisha  Govt’s Spokesperson Subroto Bagchi https orissadiarycomkeepingthepr evailingcovid19situationinmindadministrativereshuffleneedstobedoneodishagovtsspokespersonsubrotobagchi   …
1056, RBI  DFS India  DFSFightsCorona  As the  lockdown  extends till 17th we need an  extension  of deferment for atleast a month more that is is till 30th June It would be next to impossible to serve EMI in June as the business is at complete standsti
1057,Government has decided to formulate new guidelines for funerals in order to reduce the waiting period for funerals informs Home Minister AmitShah  following a review of COVID19   situation  in Delhi along with Health Minister drharshvardhan    7n
1058,Just going to throw it out there but on the basis our hospitals haven’t been overrun and we haven’t had scenes like Italy and Spain had with  covid19  I’d say the  situation  could have been A LOT worse in the UK and HMG have actually done a pretty reasonable job
1059,Pakistan records highest number of daily  Covid19  cases today 4688 with 82 death Total cases now 85264 total deaths 1770alarming  situation  StayHome StaySafe CoronaVirusPakistan  Covid19 pictwittercomeG3kEoqM2N
1060,In a survey 82 respondents said that they had suffered financial losses due to the COVID19  pandemic  Despite this an overwhelming 88 supported the  extension  of the lockdown  by 2 weeks The resilience and sagacity of India  is amazing    Lockdownextention https twittercomCNBCTV18Lives tatus1256445055096590336   …
1061, COVID19  alarming  situation  in gujarat  I report Gujarat sees highest oneday death toll Ahmedabad municipal chief goes into selfisolation httpswww theweekinnewsindia202 00505gujaratseeshighestonedaydeathtollahmedabadmunicipalchiefgoesinselfisolationhtml   …
1062,Were so sad to see our former neighbours from Longrain  close their doors permanently I suspect their landlords must be very understanding of the current  situation    You guys set the bar really high for a long time longrain  youwillnotbeforgotten  covid19
1063,The GDP  numbers fully reflect the slowdown  which the economy  was going through in the last two years and highlights the importance of a demand led recovery COVID19  coronavirus  lockdown  Unlock  recession  India  TheWeek  TheWeekLive https bitly2TV1G0x  
1064,Pakistan records highest number of daily  Covid19  cases today 4688 with 82 death Total cases now 85264  total deaths 1770alarming  situation  StayHome StaySafe CoronaVirusPakistan 
1065, visrane  I just called on 1075 number to verify Goa state  COVID19  updates when I told I am calling from Goa the Lady who was responding me asked Goa comes in which state  Whom govt appointed If they don’t have the basic knowledge how could they handle this pandemic  situation  
1066,Forget about everything except defeating Corana outbreak Perhaps  extension  of the complete  lockdown  is crying need of this time  ।।जान है तो जहान है।।  PMOIndia  HMOIndia  narendramodi  myogiadityanath  NitishKumar  MoHFW INDIA   drharshvardhan  ArvindKejriwal   Amrinder1
1067,The poor in  India  have two choices either die of hunger or died of COVID19  PMOIndia    HelpTheHungry  Lockdown3   pictwittercomOMeJKMK2N4
1068,Since  India  has moved from  Lockdown  40 to  Unlock  10 we cant expect  corona  cases to go down  What we can do is minimize the suffering of people and save as many lives as we can Delhi govt is focusing exactly on that Spokesperson AkshayMarathe pictwittercom3oW7ofncjK
1069,Over Rs 29300cr disbursed to 32 crore poor under PM Garib Kalyan scheme Live Updates on Coronavirus   COVID19  India  IndiaunderLockdown  Lockdown2  NewsUpdatewithPM  profitMachine  MoneyControl
1070,Lock down  extension  is good decession But one problem govt do everything for poors What about midle class people like us Our income source is from shop Which is close due to  lockdown  So how can we survive So do something for midlclass like us 
1071,8 June COVID19   situation  report from WHO   131296 new confirmed cases  3469 deaths in last 24 hrs    Nearly 60 of all new cases today were reported in the Americas    New technical note on ICD coding  mortality reporting for coronavirus   pictwittercombWNZqGNOGq
1072,Survey shows largescale job losses lower food intake amid  lockdown   httpswww nationalheraldindiacomnationalsurve yshowslargescalejoblosseslowerfoodintakeamidlockdown   …  Covid  19  Lockdown5  India    
1073,All passenger trains  cancelled till May3  in India  Passengers will get full refund of fare for the cancelled trains  Lockdown2   COVID19  coronavirus  NewIndianXpress pictwittercomkaQQaPSJWt
1074,Even  lockdown  50 be imposed  India  will still keep loosing mother father Brother friend  Lockdown  for  corona  turned out be a gateway for hungry  suffering A baby lost her mother but could not even understand Mother is dead Heart is breaking STOP Lockdown5   lockdownindia
1075,Why are we looking at the Pasqua hospital  situation  as no new cases Youve got three dozen on selfisolation more people to contact  trace Why arent there test results yet for them If you dump everyone into selfisolation youre not getting a true picture of  covid19  cases
1076,There is a possible vicious COVID19  cycle Circuitbreaker  ends on 1 June everyone in Singapore  will go back to work despite the unstable  situation  Will that cause more problems or should businesses change their model  rely on tech  blockchain    https twittercomAPstatus1259 723466955206657   … pictwittercomPCtqcb0R0Q
1077, HDFCBankCares  My humble request HDFC bank Please understand  covid19   situation  Please help to customers
1078,Cancelation of board exams institutions closed till 15th July entry tests of Nust Giki Pieas Ecat postponed till further orders If God forbid this  situation  lasts longer what option will government opt  RIP  Nizametaleem  shafquatmehmood  covid19
1079,Im teetering on never because Florida has done nothing to improve the  situation  and most of the state seems to be pretending  COVID19  just isnt a thing
1080,Dangerous  situation   1 The 1 hold half the worlds assets  2 The poor face the worst of COVID19  3 The velocity of money has dropped to depression levels 4 Americans are armed to the teeth  5 Incompetence and corruption are eroding the legitimacy of the federal govt
1081,This really is an even more drastic  situation  what with COVID19   We have lost our jobs and still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us like criminals  Stoptheloancharge
1082, socialepfo  i want to withdraw my pf becoz of  covid19  financial  situation  is bad company removed me i dont glhave money pls help me i applyed pf amount to withdraw but its rejected and comment showing pls update account number but i am update alredy also mail to epfo but no rply
1083, goibibo  I booked a airvistara  flightVistara UK753 PNR P9ZSFK from your app but because of the Covid19   situation  I had to talk to airvistara  for the refund Please refund the ammount that you got from airvistara  in my bank account its pending from your end 8101896291
1084,How are you helping your customer in this  situation  or How anyone contact with you Due to  COVID19  your support is not active and I can understand but whole world is facing same issue still working and providing support to their customers
1085,Keep uptodate with our work by following our blog  This is our latest post a very sad  situation  created by the COVID19  pandemic  COVID19UG httpswww raysofhopehospicejinjaorgpostchildren leftstrandedduringcovid19lockdown   …
1086,Overall per AP  Alabama  state statistics showing hospitalizations are up since April 2020 COVID19  coronavirus   On May 23 2020  The  situation  in Alabama has become worse over the past 14 days JayReeves https apnewscom563855c7441faa 9b9a62dc85fbeb232f   …
1087,The  situation  in the Med has during  COVID19  become even more disastrous Many ports have denied disembarkments all the while many migrants especially from SubSaharan Africa are mistreated in North Africa and have much to flee from
1088, Disappointment  I10 water issue is not resolved It’s a shame and big question for our Government  We have been hearing water issue  scam from yearsSpecially in month of Ramdhan   COVID19   situation  Government  should step in and take immediate action before it get worstPTI
1089,Screenshot of GundaGardi of GoAirThis is real face of Indian Companiesgoairlinesindia  I stay in Mumbai and GoAir forcing me to travel in this  COVID19   situation  by not givin refund of canceled flights in lockdown period boycottGoAir   Help ChouhanShivraj  ShivSena  OfficeofUT   https twittercomgoairlinesindi astatus1270666277166747649   … pictwittercomggniRjGspU
1090,Im actually genuinely sad for the lack of leadership during this madness I make it a point not to bash Trump but how he has handled COVID19  and the GeorgeFloyd   situation  has me truly concerned for the future of our country GodHelpUsAll
1091, arunbothra   Sir How to tackle with the depression due to job loss during  COVID19   situation 
1092,Certainly not the Governance  Reaource  something biological and Spiritual is favouring Subcontinent SLanka 300 Bangla 500 Pak 6000 and  India  11000  This is miraculous  Deaths are 123986280 or so respectively LockdownExtended  Lockdown2  Trump  lockdown
1093, Disappointment  I10 water issue is not resolved It’s a shame and big question for our Government  We have been hearing water issue  scam from yearsSpecially in month of Ramdhan   COVID19   situation  Government  should step in and take immediate action before it get worstPTI
