,analytical Tweets
2412, sbtebiharpolytechnicpromotekro  sbte bihar polytechnic ke sabhi student ko promote kare due to  covid19  Panadenmic  situation  SBTeducation  AICTEINDIA  ugcindia  HRDMinistry  NitishKumar  ABPNews  aajtak  PMOIndia  ugcindia  NitishKumar
2413,Utter failure governmentGandhis India failedThe poor  poorest people are the main victim of this deadly  Covid19 corporates  big fat owners are really exploiting the  situation   government focus only to corporates these press conferences and media briefings are all jumlas
2414, WHO   India ’s  COVID  19  War Day 21 Sees  Lockdown   Extension  by  19  Days  https abcliveinlockdownexten sion   …
2415,Final year students demand for promotion considering  COVID19   situation  in Rajasthan StudentLivesMatter   ashokgehlot51  gssjodhpur  RajCMO  HRDMinistry  AICTEINDIA  1stIndiaNews  ndtv httpswww ndtvcomeducationcanc elexamsrajasthanstudentsstartpromoteallcollegestudentscampaign   …
2416,Prime Minister Modi announces  extension  of nationwide  lockdown  in  India  till May 3rd  https ifttt2XAoDss  
2417,The COVID19  pandemic has made families struggle for materials that we often take for granted  We talked to our Programme Development Managers in Asia and East Africa to learn more about their  situation   StopExploitation  StandforChildren  ProtectChildren  StopCOVID19 pictwittercomdz8ZX0lgsY
2418,Due to the uncertain  situation  because of  COVID19  I wont be able to travel and would like to get the full refund of the booking amount  Ticket No 1 0573756073527 Ticket No 2 0573756073528 Flight Date 15th September 2020 Amount INR 40521 AirFrance
2419,The  situation  caused by  covid19  is hardly something anyone could foresee last year ‘Financially insolvent’ is very poorly chosen
2420,Food service sector to be severely impacted by  lockdown   extension  Elior  India   httpswww devdiscoursecomarticlebusine ss1008289foodservicesectortobeseverelyimpactedbylockdownextensioneliorindia   …
2421,Currently ranking 7th worldwide in terms of number of cases registered  India  had  269 deaths in a single day last week Couldnt be a better time to ease the  lockdown  right Art by SusrutoM  and MBobbying    Unlock1  StepDownModi pictwittercom4mYdGH7diZ
2422,Im not being negative the situation is getting so bad Can Govt please dont  unlock   india  forgodsake  The  lockdown  which was done in Apriln may is absolutely going waste because of the unlocking done now the situation the cases are only increasing govt should take responsibility
2423,IOM  is supporting the construction of quarantine shelters in northeast Nigeria Conflict has led to millions of people being displaced in Nigeria and COVID19  would worsen the  situation   https bitly2WImzxE   https twittercomIOMNigeriast atus1255796612384735233   …
2424,Putin said the vote could go ahead because Covid19   situation  in Russia was gradually stabilising though in fact confirmed cases have been generally rising over the past weekHe was speaking via video link with members of a working group overseeing the vote on the amendments
2425,Just a friendly reminder that today is the planned reopening of NAIA despite the metros ECQ  situation  Our main gateway is now open to allow intl arrivals Domestic flight still are not allowed   Heres to early arrival of the second wave   COVID19
2426, promoteUniversitystudents   ashokgehlot51   GovindDotasra   RajCMO   BSBhatiInc   Please take this matter seriously and promote students  If exams take place then current  situation  of  COVID19  will increase and we  will have no other options expecting depreciation  https twittercomDeepakPaldiya status1261566871477776384   …
2427,But its his leadership skills that brought us into the  situation  were in today If America still had a leader global powers would have worked together and like with SARS or MARS viruses  COVID19  would have stopped before spreading Maybe Im wrong
2428, republic  why government not dealing Tabligi jamaat with iron rod Forced  lockdown   extension  due to their act has put 130 crores  India  in lurch and pathetic state
2429, Lockdown4  is ending and RestartingIndia  again how market will react next week Nothing changes as of  situation  in terms of Covid19  all insure your safety before moving out Strictly avoid social and crowded places
2430,Parents make the decision as to whether they will allow their children to enter a  COVID19   situation   any parent could be accused of child abuseneglect if their child contracted  Covid19 
2431,Hope everything is fine in Palau   PalauTimes  nuludong  In this hard  situation  people all over the world need to care for each other  Preventive tips in 32 languages to fight against covid19  for protection  http icdayorgEPENephtml     Keep hope and stay safe  icday2020 pictwittercomTHYPRbIJAj
2432,I rqst KTRTRS  TelanganaCMO  sir to cancel all the exams of Engineering students because of this pandemic  situation  COVID19  PromoteStudentsSaveFuture  CancelTSExamsPromoteStudents   jntukfastupdates  jntuh  JNTUHTSJAC
2433,The authoritarian disposition of some has definitely come out during this  situation   not a surprise for those imposing it  but shocking at how many are just accepting and actually support it    MAGA  COVID19   1A https twittercomLizWheelerst atus1258041498588733440   …
2434,Tata Sky Installer visit for WO124499YL3 is scheduled between 01062020 1200 PM  1230 PM However there could be a delay due to current  COVID19   situation TataSky  No one has got in touch Unable to utilise your services Please attend URGENTLY
2435,How urgent is the renewal of abscbn compare to other laws which will help the POOR Or will address our  Covid19   situation  now
2436,Forget slow growth for  India  economy may actually shrink massively Dire economic estimates flow in after lockdown   extension  Lockdown2    samratsharma httpswww financialexpresscomeconomynowev enindiamaynotsurviveforgetslowgrowtheconomymayevenshrinkdireestimatesflowin1927974   …
2437,Rubongoya In any sane country teachers should be the most respected people We are all products of their work COVID19  has disrupted life we need to look at how everyone will be supported not just teachers because the  situation  has become difficult for everyone  NxtBigTalk pictwittercom00r47eKyxH
2438,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
2439,Very illustrative animation of data on  COVID19  to show how fast how many people have lost their lives compared to other causes Although we go to a nextnormal  we need to monitor the  situation  and take action to protect lives stayhome   staysafe https lnkdindSi9Spg  
2440,CoronaForecast  Chancellor announces help for the self employed  Lockdown  II announced Brexit  extension  agreed Ventilators go into production  COVID19  continues to spread  Longer Term Civil disorder in USA  India  and Iran WHO denounces Trump
2441,It appears there’s still huge interest in Aus from Chinese students due to the  Covid19   situation  in both the US  the UK Aus being seen as a safer place health wiseinterest being shown by Chinese students to come in 2021 No thanks to the LNPs lack of diplomacyhopeless auspol
2442,UNLOCK  10  How you will justify this decision   India  will learn the lesson very soon It’s just behind 6 week from USA Curve is in exponential growth trending no scope of flattening now  India  lost it’s race to fight against  COVID  19   pictwittercomhCyAmzyvzL
2443,A very wise and important decision IMF backs  India s  lockdown  decision despite economic cost IMF projects world economic growth to go below zero IMF  lockdowneffect  Lockdown2  CoronavirusLockdown https tfipostcomiansnewsimf backsindiasverywiselockdowndecisiondespiteeconomiccost   …
2444, promoteallIGNOUstudents  OfficialIGNOU   DrRPNishank   HRDMinistry   narendramodi   Its my humble request to all  you please promote all ignou students because india is battling the  covid19  and cases  are getting worse day by day In such   situation exam shouldnt be conduct
2445,Very heartening to read such news current dreadful economic  situation  caused by COVID19   HULNews  asianpaints  myntra  HCCBOfficial  LeadThruChange  bharatpeindia  CSSCorp    https economictimesindiatimescomjobscosthat chosetoshieldstaffduringthestormarticleshow76051891cms   … pictwittercomr1qMUvDLMy
2446,What about Wines Shops in TelanganaPlease CloseWineShops  In Telangana Save Peoples Health Their Income they also hiked prices for liquor at this Corona Pandemic  Situation Lot of peoples gathered at one place is it Safe for Nation  It is a chance to increase  Covid19  Cases
2447,Update on  COVID19   situation  in Nigeria for May 30 2020 There are 553 new cases reportedThus the total number of confirmed cases is now 9855 with 2856 cured discharged and 273 have died Read the analysis from https mfacebookcomstoryphpstor yfbid10220245739087894id1660320802   …
2448,Thread 33  prefetrhone  vous avez vraiment donné ces instructions à IKEAFrance  Lyon  IKEAFrance  vous cautionnez cette discrimination  scluzel  les personnes en  situation  de handicap ne peuvent plus faire dachat en magasin  discrimination  handicap  covid19
2449,The  covid19   situation  hit our factory and shipping hard which caused the long time delay of the supply After recovery now well have more stable supply of the Pro in later stages Sorry for keep you waiting
2450,Despite  Covid19   situation  I have to work But I found  a nice movie Guess what Here is subways station  pictwittercomxSpy6RRBxE
2451,It looks like the   will be back on lockdown   some states are hinting that people will only be permitted going out for food  medicine COVID19  no joke  terrible leaders make terrible decisions More deaths more suffering more job loss  terrible  situation 
2452,Ministry of Home Affairs Government of  India  issues order to further extend lockdown  till 31st May 2020 with effect from 18th May 2020  Lockdown4  lockdownextension    Read here  httpswww mhagovinsitesdefault filesMHAOrderextension1752020pdf   …  FobChapra pictwittercom7cPtfnq2ex
2453, Iran s president today had a phone conversation with president of Switzerland  saying We expect Switzerland to play a more effective role in this sensitive  situation  where we are witnessing an increase in US illegal and inhumane sanctions against Iran CoronaVirus  COVID19   pictwittercomFaEyCGij9M
2454,With lockdown  extended it will be a real test for the citizens of  India  to prove how responsible they are  You follow the Lockdown2  and your locality city boundaries may get a relaxation by 20th April if not a single new case is reported  PMCPune  aparanjape
2455,We are all facing unprecedented  varied challenges with the current  situation  Check out the full range of COVID19 related articles and tools on the ⁦verywellmind ⁩ website workfromhome  covid19  staysafe  remotework  wellbeingwednesday  bekind   httpswww verywellmindcomcopingwithco ronaviruscovid194800265   …
2456, POferries  we have booked a return ticket RotterdamHull this summer holiday As Dutch citizens we can only travel to the UK if absolutely necessary If we would we need to go in self isolation for 14 days  Covid19  is a  situation  beyond our control Restitution is in place
2457, Unlock1  comes amid highest cases being reported Be Atmanirbhar now people will be sole responsible if they get infected Government cant do anything Contradictory decision Its far away frm reality PMOIndia  AmitShah  PIBHomeAffairs  MoHFW INDIA  Corona  COVID19  lockdown
2458,About 1800 of the names have been removed since March Analyst believe in such a  situation  it could well be a bit of challenge for FATF  to review in June the steps Pak  took using COVID19  pandemic as a coverupto deal with terrorism ever since it was put in FATFs grey list  pictwittercomJVsT86hHMf
2459,Are you serious sir vijayrupanibjp  GTUoffice  when we have less than 500 cases of  covid19  therefore gtu cancelled our examinations               But now when in current  situation  we have  more than 1 lakh cases of  covid19  gtu declared  exam form filling for pg students How
2460,Honble Supreme court As I also booked a new bike and have paid full payment to the dealer after that bangalore is fully in  lockdown  Dealer not able to register my bike because of this pandemic Please consider  extension  upto june 31 2020 BS4
2461,I think I agree in principle Though Im assuming what may be going on is memory holing  Covid19  for optics Id imagine theyd get blasted fairly hard if theres any kind of suggestion that  Covid19  takes priority over protesting considering the scale of the  situation 
2462,Sir at this time travel in June remains unchanged However Its a very fluid  situation  and were monitoring it every day Youll be notified in case your flight is impacted due to  covid19  for the mentioned date Surjya
2463,Appears the  lockdown   extension  is to ensure complete identification of all those who came in contact with the Single Source  Corona  Network
2464,As  India  goes into an extended lockdown  until May 3 darainshahidi  takes a look at how other South Asian countries are faring in the war against coronavirus  and why  India  had to extend the worlds largest  lockdown  lockdown2  lockdownextension pictwittercomsy89iawd2y
2465,Very difficult to predict but clear that factors related to the COVID19  virus  to our response will determine the course of this pandemic If global solidarity  results in vaccines  treatment for all the  situation  could be very different in two years FT  WHO  ICC  IFPMA https twittercomaparanjapesta tus1260829922932649984   …
2466,I think its interesting how people are so wrapped up in BlackOutTuesday  BlackLivesMatter   and protests relating to the George Floyd  situation  that they have completely forgotten about social distancing and wearing masks due to CoVID19  which is still present in the US
2467,La Bonne Info  Point de la  situation  Covid19 du 01 juin 2020  Covid19  Covid19CI  CoronavirusCI pictwittercomCeYdqdXlpF
2468,AIMIM chief asadowaisi  on Saturday urged the citizens of Telangana to maintain law and order  situation  and respect health workers treating COVID19  patientsThe New Indian Express  httpswww newindianexpresscomstatestelanga na2020jun14respecthealthworkersasaduddinowaisiappealstopublic2156343html   …
2469,Honourable MutsvangwaThe drought experienced in the 201819 and the current season coupled with diminished access to external sources of foreign currency further compounded Zimbabwe’s economic  situation  MoHCCZim   Covid19  OpenParlyZw pictwittercomip9qY3ymyN
2470,Lessons in Strategy  lockdownindia  Lockdown  Lockdown2  Lockdown3   WuhanCoronaVirus  COVID  19  India   pictwittercomqVV9gD9Scv
2471, KizzaBesigye  COVID19  Was declared a pandemic in January by the WHO and in March Uganda    received her first case How sure is our government that we were not ready to handle the  situation  nbstv  SuubiSolomon  NBSFrontline
2472,situation  in Zimbabwe  is horrible  ZANUPF  evil regime is taking advantage of the pandemic to crack down the oppositionparty   They do this because they know people can’t go into the streets to protest given the dangers of  COVID19  Zimbabwe  need the answer 
2473,La  situation  du pays  Covid19  enjeux socioéconomiques analyses prises de mesures
2474, promoteallIGNOUstudents  OfficialIGNOU  HRDMinistry  DrRPNishank  As we know ignou has centres all over indiathis will be risky to conduct exams in this  situation Students will suffer mentally and for transport in this condition when  covid19  cases are regularly increasing
2475,Several key opinion makers analysts and economists are of the view that  India  should start lifting the  lockdown  measures in a graded manner across districts affected by  Covid  19  It is another matter that the states and the Centre are considering an  extension  of the  lockdown 
2476,Congress likes to poke nose unnecessary They dont understand the seriousness  lack of time to manage  COVID19   as well as managing LAC  situation  Government doesnt have time now when right time comes they will have too explain in parliament meanwhile just support Government
2477,Watching BorisJohnson  in a complete car crash  situation  Don’t know whether to laugh or cry whilst he spouts this nonsense Utter embarrassment COVID19
2478, IITGuwahati  IIT Singapore medical school develop alternative model to assess COVID19   situation  in states  IITGuwahati  dukenus  akaGJS     Publication htTweets httpswww hindustantimescomeducationiit singaporemedicalschooldevelopalternativemodeltoassesscovid19situationinstatesstoryCeIOgIYJU1h4v1ugOT5fFOhtml   …
2479,People are now remembering and recalling the era of Dr Manmohan Singh with respect PM Modi’s tenure has led to a series of disasters be it economic foreign policy or simply the manner in which he has tackled the Covid19   situation  IndianExpress   https indianexpresscomarticlecities ludhianapeoplemissingthemanmohansinghgovtmanpreetbadal6437789   … pictwittercomygH6xs5pH8
2480,Venture Catalysts Jun20 Virtual Pitch DayEast  Central India  Due to the  situation  around  Covid19  we have decided to continue with virtual pitch day for this month for VCats Investors Date 6th Jun20 Time 0330 PM  0500 PM Request you to block your calendar for the same  pictwittercomOtop0mdlv5
2481,We are constantly updating our COVid19  resource center to keep you informed on the information as it changes Access all the different tools and resources that any industrialhygienist  might need to help assist with the current  situation   http bitly3afTXQo    workersafety
2482,Telangana Chief Ministers Office now clarifies that CM K Chandrasekhar Rao suggested  extension  of  lockdown  for 2 more weeks after April 15 He took a reference from BCG report which suggested  lockdown  in  India  will be good until June 3 No announcement of  extension  yet
2483,The numbers are the numbers The question is what do they mean Without wage subsidy how many jobs would there be In Canada it just means we have staved off the worst impacts of  Covid19 for now The  situation  in the US is chaotic in the extreme
2484,Situation  de COVID19  en Afrique le 29mai 2020  StaySafeAfrica  WeCareBenin  Ensemble   Source info OMSAfrique  Together pictwittercomqBZseaLPDt
2485,Tweet by ArvindKejriwal  clearly indicates  extension  of lockdown  in India   Let’s hear our straight from the horse’s mouth tonight narendramodi   Lockdownextention  Narendermodi  StayHome
2486, ZUBAIRZZEEH  in spite of all barriers of  Covid19  seamlessly conducted 3 small scale weddings during the COVID19  situation    httpswww eventfaqscomnewsef16646 zzeehproductionsexecutes3weddingsathomemakingitcouplesdreamweddingamidstlockdown   …
2487,Join us live tomorrow Tuesday 9pm IST Exclusive chat with bigdancecentre    Talking about the worldwide outbreak of covid19  How it has effected then dance community current  situation  and future plans Request…  httpswww instagramcompCA5rHvAhvnu igshid15gtqw4b8gu62   …
2488,Minimum threshold to initiate insolvency proceedings raised to Rs1 cr from Rs 1 lakh which largely insulates MSMEs Suspension of fresh initiation of insolvency proceedings up to one year depending upon the pandemic  situation  Finance Minister Nirmala Sitharaman COVID19
2489,Corruption is the main cause of the National underdeveloped activities for this  situation  who are all responsible for this cause must be punished But During  COVID19  pandemic Central govt allowed a few Buruacracy and concerned Nethas to understand the Stand of Hon Narendra Modi  https twittercomBJP4Karnataka status1268139279047225345   …
2490,Amit Shah is forgetting that INCIndia  proposed for an all party meeting to handle the COVID19   situation  or else we could have created an interim government including the opposition parties But Ignorance has created a mess  https twittercomShashiTharoor status1270265504880525313   …
2491,The tone and feel of emails  should reflect the  situation  were all in WIRED  has some suggestions on emailing amid COVID19   https hubslyH0r49js0  
2492,Rouhani compares the  situation  in Iran developed countries in terms of managing COVID19  saying  “We have seen confused officials  duplication of decisions in some of these countries”  Reminder In Iran anyone announcing real status  fatality rates are imprisoned or sacked  pictwittercomXWLfrDjYR2
2493,I thought ashokgehlot51  ji as a statesman  And he was handling Covid19   situation  very well But I think he has started losing the plot now
2494,Have to drop out early for a call but this was a great  vital discussion  We need a lot more focus on the shortcomings of our rushed and unsustainable adaptation to the COVID19   situation   I look forward to more CIOChat  sessions with all of you to explore  cio  postpandemic
2495,Sadly many thousands more worldwide will die of covid19  as a result of the blacklivesmatter  protests  Black lives absolutely DO matter but so do the lives of people who haven’t been at these protests  Shameful that our unequal societies have created this  situation 
2496, EU  will extend sanctions against Syria  despite the COVID19  pandemic  It will send a strong signal that the current course with violence an aggravation of the humanitarian  situation   the use of chemical weapons is absolutely unacceptable  Let it sink in
2497, OurWorldInData  MaxCRoser  Can you check the confirmed COVID19  cases data for Chile  There is a discrepancy between the June 18 value 36179  official figures 4475  httpswww minsalclnuevocoronavi rus2019ncovcasosconfirmadosenchilecovid19   …  However I do see that your data is consistent with ECDC  WHO  situation  report  pictwittercom9hKsDB4ydk
2498,India  is on 5th place after Spain in no of COVID  19  cases  300 deaths in just a day  Blaming government only wont work  we need to understand that the  unlock  isnt because that we are free from coronavirus  but due to economy  LockdownFailed
2499,They are going to use the  covid19   situation  to arrest torture kill opposition supporters
2500, StudentsLivesMatter   We are not afraid of choice we are afraid for only the Current  situation  Facing all Try To realise What The  situation  We are inDayday increasing the cases We first Focus on To Reduce the cases Covid19    CancelPYClgExams  VNarayanasami  LGovPuducherry pictwittercom3ixm2bcSYU
2501,Of 5  COVID  19  lockdowns in  India  1st phase most effective shows data   https innewsyahoocom5covid19loc kdownsindia122908182html   …   COVID19  coronavirus  Lockdown  Lockdown5
2502,If you follow davidicke  you might as well judge the Tanzanian MagufuliJP  president less and perhaps yearn to listen to why he is handling the  situation  as he is COVID19  lockdowneffect pictwittercomXwy7bqTifQ
2503,Government try to open everything day by day But Covid  19  Cases increases Please take Strong Action You will lose The hope to save  India  Please Save Us GodUnlock1  saveus  CoronaUpdatesInIndia
2504,We need retailers to start making antiviral masks Yes the three layers makes them a step better than adidas  masks which are basically just for fashion but more protection  is needed in the current  situation  coronavirus  covid19
2505,As of 1852020 0000  Confirmed       16305 28 　Hospitalized  3823 120 　Discharged    11564 149 　Death         749 5  Excluding Diamond Princess cruise ship   httpwww socjapancom      COVID19  Covid19  coronavirus  coronavirusjapan
2506,Agree with the  Lockdown   Extension  but  Cant Keep Nation under  Lockdown  Permanently  India  has to resume the Economy Now otherwise  We will End up Losing Even more  Lockdown5     pictwittercomYZrXg09bgl
2507,We spoke with Dr Benham Pourdeyhimi to gain his insight  and perspective into the current global  situation  and to find out what measures they have taken to ramp up nonwovens production    https hubslyH0qVKsq0     acelli  onaroll  tissue  paper  nonwovens  COVID19  covid 19
2508,Day after  lockdown   extension  new LockdownGuidelines  have been issued  Scope of many activities widened  fresh conditions set for public  Find out what they mean for you  Join Rahul Shivshankar on  INDIA  UPFRONT tonight at 8 PM  Tweet with LockdownGuidelines pictwittercomJzYBX6dAGq
2509,Much appreciated COVID19  coronavirus  The National Coordination Committee in its meeting has decided to let the flight operations bus services and train services remain CLOSED in the country due to covid19   situation  as per media reports
2510, LearningConnects  COVID19  Our aim is to capture any development so that tomorrow we can be better equipped to recover  provide adequate responses to any unexpected  situation ” Discover BUNews  story shared by MahdiKleibo  on our onlineresilience  blog  http owlyecSz50zEVVr   pictwittercomDQRmVTKCJm
2511,What does coronavirus  mean for your financial  situation  Read about the real problem most people are dealing with how COVID19  has made it worse and what you can do to fix it MakeProgress  finance  debt  coronavirus  stimulus
2512,Due to the  extension  of nationwide  lockdown  announced by Indian government all flights flying within  India  and those taking off or landing in  India  between 25th Mar to 3rd May stand suspended As per the latest GoAir circular
2513,I’m wondering if allowing liquor shop opening would increase domestic violence during this phase  should it be reconsidered Lockdown3  liquor  COVID  19  DomesticViolence  womensafety  MoHFW INDIA  Chaiti  CNNnews18  unwomenindia
2514,The  situation  DominicCummings  found himself in on the Friday night was  his wife was unwell with suspected COVID19    his child was well  he was well Why were these exceptional circumstances He broke lockdown  rules Simple SackCummings
2515,Well we can only work with what we have in the current  situation  but we are making the right headway Apart from  Covid19
2516,It is irresponsible to make politics out of this  situation  Leave it to the Science the concerned Health Authorities and the Experts to weight the requirement on a COVID19  scale and make a decision Nothing more  no emotional and opinionbased decisionmaking please
2517,I couldn’t imagine going through this entire COVID19  stay at home  situation  and not coming out a better person after all this WasteOfTime
2518,In addition there is the real risk that growing food insecurity will result in famine Civil unrest a difficult political  situation  and precarious security may further complicate the  situation   DirOPSPAHO  COVIDー19  COVID19
2519, nsitharaman  Maam need help regarding my sr Citizen mothers PPF account ICICI Bank not processing contribution for FY 201920 as per moratorium guidelines issued by your office in view of  Covid19  lockdown  situation 
2520,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
2521,as a matter of fact  I believe that billgates  has a very close and globalist oriented china centric orientation to china  his involvement with covid19  is not to be discounted as the whole  situation  is compeltely out of hand and highly deceptivedisingenuous
2522,Stuck in the lockdown  Still finding the way to entertain myself  No matter how bad the  situation  is it will change nothing is permanent  COVID19   pictwittercomKxH14kldDz
2523,DETAILED update on WWE WWENXT  stars growing concerned whow company has handled Coronavirus  COVID   situation  some considering going home right NOW due to recent COVID19  positive test WrestlingTwitter  Covid19  CoronavirusPandemic   FULL STORY   https ewrestlingcomarticlebackst ageupdatewwesuperstarsgrowingconcernedhowcovid19situationbeinghandled   … pictwittercomcmV0KYOert
2524,In the unprecedented  situation  caused by COVID19  we have a few tips for you and your staff to stay productive Check our first blog of the series to achieve this using VPN   https buffly2Wtm0YM     covidoutbreak  workfromhome  remotework  covid19pandemic  covid19lockdown pictwittercomL0vLzbizM0
2525, MissionBeginAgain   CMOMaharashtra  PMOIndia  startupindia  MoHFW INDIA  CimGOI    SocialDistancingWorks   IndiaFightsCoronavirus    SafetyFirst   staysafe   COVID19Pandemic  COVID19  Unlock1  unlockone  missionbeginagain  SaferIndiaInc  MissionBeginAgain pictwittercomoGBPUNq1df
2526,Lockdown   extension  news States get power to define zones decide on road travel  https timesofindiaindiatimescomindialockdown 4guidelinesliveupdatesandcoronavirusinindialiveblog75768788cms   …  needs of the hours to extend the lock down upto 31st May 2020 Will ultimately relief to people of  India    from ChineseVirus
2527,Barclays cuts  India s GDP forecast to zero citing  lockdown   extension    httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …   Download moneycontrol app  http mmoneycontrolcommom   
2528, BreakingNews  Lithuanian  government lifted the coronavirus quarantine from June 17 but extended a nationwide emergency  situation  that was declared in late February COVID19
2529,Facebook is the only company that benefited from  Covid19  They had a great response to the whole  situation  it was their redemption after years of trials
2530,If Ive lost my job and cant pay rent due to  COVID19  what happens if my furnace fridge etc needs repair but my landlord needs my rent to do the repair not to mention pay their property taxes and mortgage Its a loselose  situation  that the legislation doesnt address
2531,For todays edition of the COVID19   Situation  Report Tracie Smith Information Officer  Dr Stewart Kennedy Incident Manager discuss travel restrictions  steps that you can take to help avoid a resurgence of the virus in our community  https bitlyCOVID19June 15   …  TBay
2532,Ministry of Home Affairs MHA issues guidelines on measures to be taken by MinistriesDepartments of Government of  India  State GovernmentsUT Governments  StateUT authorities for containment of  COVID19  LockDown4  will remain in effect till 31st May 2020 https Lockdown4   pictwittercomyCVrIAW5Y1
2533,COVID19   SITUATION  IN INDIA nifty50  Nifty  BSE  HDFC  hdfcbank  SBI  tcs  Infosys  ICICIBank  KOTAKBANK  ITC  hul  FMCG  money  StockMarket  Stock2020  stocks  stockmarkets  stockstowatch  stock  technical  analysis  RIL  Reliance https twittercomVtvGujaratist atus1267292578833186816   …
2534,Discipline saved Newzealand Whats  india  going to be like in coming days   lockdownindia  coronavirus  Lockdownextention  lockdown  Lockdown3
2535,Health of students is a matter of concern amid this COVID19situation  Conducting any entrance examinations in this period is full of danger Authorities should revise their decision of conducting exams DrRPNishank  PMOIndia   postponejee  postponeneet   HealthOverExams
2536,Ces données ont été rendues disponibles avant le COVID19    Imaginons la  situation  maintenant en période de confinement  pandémie et bientôt crise économique  Ne baissons pas la garde Protégeons les femmes pictwittercomD7wcW2Dnkr
2537,It was good decision for  India   India  will extend  lockdown  till May 3  IndiaFightsCOVID19   StayHome   Lockdown2
2538, narendramodi  please  extension  lock down other wise cannot control  covid19  in  india
2539,Domestic workers often work in isolation without access to info on the health  situation  how to prevent the spread of the virus  available services if in need COVID19  could put them at further risk Their rights to information  access to services must be ensured SafeandFair pictwittercomX4leZaFHWn
2540,Please give special attention to social distancing Other wise it leads to wide spread of  COVID19  Hope you are aware of the current  situation  of this pandemic in the world  Thank you
2541, INDNL   kindly reply will be I allowed to enter in NL if my RP that I carried to  india  got expired as I got visa  extension  but not collected new RP from IND yet as due to  lockdown   it is very difficult for me to travel back  Kindly assist on bel
2542,This announcement by ICAP  caused inst to rapidly create online portals and surged classes to compensate for the time lost 3 weeks Simultaneously Covid19  was spreading and no of ve cases were rising This entire  situation  caused frenzy and worry among students 413
2543,India s migrant workers protest against  lockdown   extension  AJENews httpswww aljazeeracomnews202004i ndiasmigrantworkersprotestlockdownextensioncurbvirus200415063431190html   …
2544,Any announcement with a fixed date that is they have made an economic decision not based on the  COVID19   situation  sounds like Westminster
2545,Coronavirus crisis  India  simply can’t afford another  lockdown   extension   The Financial Express  httpswww financialexpresscomopinioncorona viruscrisisindiasimplycantaffordanotherlockdownextension1944860   …
2546,How irresponsible are these people Is this  extension  of tabliqi jamaat which is responsible in the spread of  COVID19  What the government and Delhi police are doing Please save  India  PMOIndia  DelhiPolice
2547, Thailand  situation  update on COVID19 18 June 2020    Confirmed total 3141 cases 6 new cases          Admitted 86 cases          Discharged 2997 cases          Death 58 cases   COVID19  COVID19   COVID19thailand pictwittercom6rtSV6aN2w
2548,Many young ages people died in NY Their symptoms are similer kawasaki disease and others but that  situation  from what it is my question  So which reports have answer for me  COVID19   SARSCoV2  coronavirusoutbreak
2549, unlockone   CMOMaharashtra  PMOIndia  startupindia  MoHFW INDIA  CimGOI    SocialDistancingWorks   IndiaFightsCoronavirus    SafetyFirst   staysafe   COVID19Pandemic  COVID19  Unlock1  unlockone  missionbeginagain  SaferIndiaInc  MissionBeginAgain https twittercomStrataHivesta tus1267105409309069314   …
2550,Thanks for the kind words ★★★★★ Looks exactly like the picture Really happy with this purchase Thank you  shipping took awhile but thats entirely because of the  covid19   situation  dilah9819  https etsyme2Ypikaf    etsy coinring  netherlands pictwittercomCcaaQTdLbJ
2551, cbic india  FinMinIndia  nsitharaman  nsitharamanoffc  Request for  extension  of deadlines of GST returns on account of  Covid  19  pandemic engulfing the worldSince the country is advised to take precautionary measures and stay indoors
2552,The  situation  report from the Nepal Peace Monitoring Project PMP covers the incidents from May 1 15 2020 related to genderbased violence and incidents related to COVID19 can be found here  https nepalmonitororganalysis127    nepal  humanrights  COVID19
2553,Due to the  extension  of nationwide  lockdown  announced all flights now flying within  India  and those taking off or landing in  India  stand suspended until 17 May 2020 For the same airlines are creating either a Credit Voucher Shell equivalent to the booking amount or your
2554, Wuhan s universal test for COVID19  provides a more convincing result than screening key groups and can reflect the overall infection  situation  in China  It also makes people studying and trading in the city feel safe Chinese virologist   pictwittercomzl8ktWXJg5
2555, What are the emerging trends in Pakistan ’s illicit economy as a result of Covid19   The National Initiative Against Organized Crime NIOC Pakistan supported by the Resilience Fund has been tracking the  situation   IanTennant9 https globalinitiativenetpakistanpande micchallenges   …
2556,Telangana Chief Ministers Office now clarifies that CM K Chandrasekhar Rao suggested  extension  of  lockdown  for 2 more weeks after April 15 He took a reference from BCG report which suggested  lockdown  in  India  will be good until June 3 No announcement of  extension  yet  pictwittercomafgKBXCwrm
2557,Thats the other negative point of India regarding  COVID19  So we have to imagine the worse  situation  because our government is now all set to rebuild up the economy irrespective of the life of peaple
2558,I think  India  China issue is the problem no major news flow   lockdown   extension  or open up clarity
2559,What does coronavirus  mean for your financial  situation  Read about the real problem most people are dealing with how COVID19  has made it worse and what you can do to fix it MakeProgress  finance  debt  coronavirus  stimulus
2560, Disappointment  I10 water issue is not resolved It’s a shame and big question for our Government  We have been hearing water issue  scam from yearsSpecially in month of Ramdhan   COVID19   situation  Government  should step in and take immediate action before it get worstPTI
