,tentative Tweets
515,end of  lockdown  in  India    lockdown  5 or  unlock  one  Lockdown5  Lockdown5Guidelines  Lockdownextention  MHA  AmitShah  unlockone    httpswww knowledgehandcom202005lockdo wnoverinindiahtml   …
516,I am well mate apart from relatives departing usand had enough of this  COVID19   situation  like the whole country unfortunately not coachingmanaging at the moment had a year out hopefully jump back in when something comes up in the future
517,Thanks for doing everything possible to support the people who were working before the  covid19  hope to get the  situation  back where it was  https twittercomLeoVaradkarst atus1268516991024889862   …
518,It’s kinda sad that the musical just ended like this I’m really hoping for them to hold it online or hopefully the  covid19   situation  can improve  they can still perform in it in the future if not imagine the efforts that they’ve put into practicing   pictwittercomfSfOx18NRs
519,India  coronavirus  lockdown  extended till May 3 PM Narendra Modi announces   https innewsyahoocompmmodiaddres snationcoronavirus152404826htmlncidtwitteryahootwittut531dfawco   …   Lockdown2  BreakingNews  LockdownExtended
520,‘The current pandemic has exacerbated the  situation  steevehuin  spoke with VerdictUK  about the surge of healthcare  cyberattacks  during the COVID19  pandemic Learn more in the article about steps that could be taken to counter these attacks  https bitly2A0BGtW  
521, Costco  considering in the  situation  we find ourselves with  COVID19  she doesnt feel safe to return if there arent any safety measures put in place  Can you shine some light on the subject please   Costco  COVIDー19
522, covid19  workingfromhome  For you guys and gals that dont know I am still immune suppressed since my transplant It makes going out to go to work or protest unfortunately a dangerous  situation  To keep me going just…  httpswww instagramcompCBdxJavH287 igshidgeg75yte9fkk   …
523,Maybe we don’t know the other meritz here or maybe he took the decision based on the current  COVID19   situation  we don’t know
524,ANI  WATCH  Delhi Health Ministry briefing on  COVID19   situation  in the count 5th May  httpswww pscptvANInews1YqKD EpAzNQGV   …
525, glenmcgregor  you reported the Cargill  COVID19   situation  today  you said new measures are receiving mixed reviews from employees Then you interviewed 3 employees not one said that they feel safe Im not sure how thats mixed reviews In journalism words matter ALOT
526,A recent report by WTWcorporate  lays out a number of possible scenarios depending on how the covid19   situation  evolves and their implications for the insurance  industry http owlyB1Xc50zE6Vt  
527,I dont know why you are so much confused political in  india  some day before you against the  lockdown   And today you same against the  unlock    क्या चचा अभी बहुत पढ़ाई बाकी है फिर तुम्हारा    नेतृत्व की क्षमता बढ़ायो राजू
528,Dear Apple  AppleSupport  I am facing issues with  IPhoneXR When I seek apple support online I just get a message  Try Again or your product is not covered for complimentary technical support In this COVID19   situation  how do I get my problem fixed Please help IphoneXR
529,Whenever I see some tweets Im just confused if it was made towards the US or the PH because it can be applied to either of them   Presidents threatening to shoot their own citizens   Police brutality   Shitty  covid19   situation  
530,Given the current  situation  of  COVID19   Hollywood doesn’t plan to film anything anytime soon Could renewal be decided later Freeform could renew it but leaving the show in limbo Writers could write but we could see Season 2 in late 2021 heck even 2022 If that makes sense
531,At GAVS we believe this is the time to define the higher purpose and that we are larger than the  situation  around us  purposefulcorporations  wisdom  leadership  covid19  opm52  hbs https youtubeU1tcrqBYfrU  
532,I request you that in this current  Covid19   situation  you should focus on the education of the student and if there are low marks in any first year or second year or third year give them some number and pass itpromoteallIGNOUstudents  officialIGNOU  HRDMinistry  DrRPNishank
533,PA is showing a strong decrease in COVID19  cases even as cases continue to rise in some states   We’re doing something right and we can’t stop our efforts just because the road has been long   As we reopen my team will continue to monitor the  situation  to keep PAians safe  pictwittercomEsFCbIZSmY
534,BJP General Secretary rammadhavbjp  talks about current  situation  of COVID19  in the country and much more in an EXCLUSIVE interview with DD India RRRameshRRR    LIVE  https youtubegXKJYSAKHBg  
535,I laugh when I hear people say or insunuate that CoronaVirus  or Covid19  is not real Authorities may be using it to loot  have even messed up the  situation  but dont make the mistake of towing the line of those with the line of thinking that its fake Dont catch the bug
536,India  extends worlds biggest  Covid  19   lockdown  until May 3  Corona  update  Indiafightscorona  india  IndiaUnderLockdown     httpswww mahonnathicomnationindias covid19lockdownthebiggestintheworld   …
537,Present  situation  even in india  Covid19india  COVID19   गद्दारमोदीलुटेराहै pictwittercomYsSsAuuXjF
538,Believed to be a more contagious strain Just what 2020 needs   coronavirus  COVID19   Beijing coronavirus outbreak travel restricted to tackle extremely severe  situation    httpswww theguardiancomworld2020jun 16beijingcoronavirusoutbreaktravelrestrictedchinaseveremeasuresCMPShareAndroidAppTweet   …
539,And you asked to end lockdown  without getting funds from centre How will you take care of the  situation  which seems to be just getting out of hand you kidding with the lives of people or what COVID19  Delhi
540,guthriegrouphms  gives some advice on whether or not you should be making your mortgage payments in light of the COVID19   situation    Watch below for some helpful tips   https appquuucor0nzA4    mortgage  forbearance pictwittercomWVEX9figqR
541,There is every possibility of an  extension but we have wait till 14th April to see the results of this  lockdown  And if situation doesnt improve it may be extended Hope everything works well for  India
542,You are right or may be right  John Lennon might referred to people who prefer not to see the problems that and around them and keep moving  I want use that line to place my interpretation to  situation    Covid19  is real  killing Many move around thinking they will not affected
543,Prime Minister Narendra Modi extends  lockdown  in  India  further till 3rd May 2020 Lockdown2  IndiaFightsCorona  IndiaLockdown
544,Lockdown  extended till 3 May 2020 in  India  Need of the hour  Lockdown2   Lockdownextention
545,Any  extension  in date of payment for march duesunable to make pymnt due to  lockdown
546, Breaking   India s  lockdown  extended till May 3 PM narendramodi    Covid19India  IndiaLockdown  CoronavirusUpdates  CoronavirusOutbreak  Lockdown2  NarendraModi  pmmodiaddresstonation
547,Thailand Covid19  Situation  Update As of 29 May 2020 AT 0100 PM Covid19  Thailand pictwittercom9lroouTwgY
548,India  stares at Lockdown3   Hotspots are likely to remain under a stringent  lockdown   COVID19  StayHome  StayHomeStaySafe
549,If you can’t speak to calm this  situation  just shut up Stop talking about the mayor Stop the shoulda woulda coulda You’re incompetent and have no clue You thought the US Military cud be turned loose on American streets Wrong U thought u cud wish  COVID19  away Wrong
550,Yes its very revealing that Ive heard and read about a number of carers describing the isolation felt in many cases by some people for the first time during covid19  as something of a welcome to my world  situation 
551,Excellent rant in the nypost  about lockdown  What the hell is going on Is anybody in charge of this  situation  End it now COVID19  USA  NewYork
552, RENTRELIEF  COVID19  Ive been trying since day one So this is day 53 of trying to get seen I really could use the help everyday my  situation  gets worse Im beginning to feel like its just not in the cards for me to get seen by you coleb79  Best wishes
553,Welcome Monsoon2020  in Mumbai  Request the television media to please cover the flood  situation  in Hindmata  Sion if any Need that old stories about water clogging to be heard and seen Lockdown has just been only COVID19   bring us back the old memories
554,Key COVID19  updates for May 6th  KingTownship      situation  remains constant with no new cases for 3 days  https stevepellegrinicom20200506may 62020covid19updates   …
555, promoteallcollegestudents  cancelfinalyearexam  imBhupendrasinh  vijayrupanibjp  1Our syllabus is remain 2we dt hv materials for preparation of exam 3 covid19  padamic  situation  spred around the World And for anything you r responsible  So that on which basis taking exam
556,Covid  19  Another reason why  unlock  10 may be illtimed in  India   httpswww indiatodayinnewsanalysis storycovid19unlock10indialockdowncoronaviruscases168716220200609   …
557,We are hiring  LEDC is looking for two Research and Special Projects Interns to start June 15 Note that these positions may be virtual depending on the  COVID19   situation  by that time Learn more on our website and apply by May 28 20204pm  https bitly3e5jRs5   pictwittercomgPgXbwXW9l
558,Lockdown  extended till 3rd May in  India  Lockdown2  3rdMay  locdowntill3may  LockdownExtended  3May  BeatTheVirus  LockdownExtendedinIndia pictwittercomyVNw9JVGoX
559,In a  situation  where someone needs CPR and they may have COVID19 you can still help See these graphics from the American Heart Association for more information  COVID19  ProtectandPromoteHealth pictwittercomdvK0sRTu6i
560, Lockdown  extended in India  till 17 th May Lockdown3  coronavirusinindia
561,India s coronavirus   lockdown  extended till 3rd of May  Lockdown2
562,It seems government has no plans now to deal with  covid19  cases I don’t see any new strategy they were only dependent on lockdown Unfortunately which fails We need to tackle this  situation  in this year only otherwise it could be a disaster covid19  india  coronavirus
563,Lockdown  extended till 17 May  Lockdown3 0 coronavirusinindia  PMOIndia  PIB India  narendramodi
564,Im trying so hard to believe the NCDC on Everything they say about the  Covid19   situation  in Nigeria but I swear it is becoming an unrealistic sport
565,Lockdown  will be extended across  India  till May 3  PMOIndia  narendramodi   Lockdown2  coronavirus  COVID2019 pictwittercomT42m4KoVPp
566,The current ruling regime clearly does not believe in science or the truthas evidenced by its handling of COVID19  why would it behave differently in any other  situation  leofsaldanha  bennkuru  napmindia  NityJayaraman  joeathialy https twittercomleofsaldanhas tatus1271292627275534336   …
567, Lockdown2  implemented till 3rd May 7steps  to be followed advised by PMOIndia  narendramodi   7 baaton mein aapka saath Localities districts throughout  India   will be under observation  maybe will get leniency in  lockdown  if guidlines are followed COVID2019 pictwittercomyzPAOndIoT
568, FADA India  Dear SirFADA team is there any  extension  being allowed by GOI for getting BSIV vehicles registered which were purchased on or before 31032020 but due to  lockdown  extensions could not get registered Please guideconfirm Thanks
569,Finally as expected  Lockdown  extended till 3rd May in  India  Lockdown2
570, IndiGo6E  IndiGo6E  According to current  situation  of  covid19   this is not possible to traveling to any where Cancell my pnr CJERPW DOJ 23rd may Blr to bbsr 6E 411 and refund the money  neither I will go to consumer court
571,Q What COVID19  language needs to go into contracts as I start shooting again A It depends Is the shoot editorialcommercial studiolocation etc Its not like a model release To be safest contact an attorney and get something written specifically for your  situation 
572,Due to the  extension  of nationwide  lockdown  announced all flights flying within  India  and those taking off or landing in  India  between 18th May 2020 to 31st May 2020 stand suspended
573,After raising the issue of Gujarat  government procuring inefficient or substandard ventilators by getting local made machines like Dhaman1  Congress  on Saturday alleged that ruling BJP  government was profiteering through the sale of N95masks  in dire  situation  like Covid19   pictwittercomhgRGeBFfJV
574,I dont know whats coronavirus situation  in Nigeria In Italy weve had  than 32000 dieds and about 30 suicides of people economically ruined by  COVID19 s consequences
575,my only hope for now is to win any giveaway  because with the  situation  of  Covid19  my financial  situation  is disgusting    Btw good luck to all 
576,Asymptomatic spread seems to be rare but global COVID19   situation  worsening WHO   httpswww dnaindiacomworldreporta symptomaticspreadseemstoberarebutglobalcovid19situationworseningwho2827332   …
577,Lockdown  in  India  is extended till 3rd May 2020 Lockdown2  Lockdownextention  3rdMay  lockdowntill3rdmay
578,My heart was broken from the start of this documentary Anyone who is questioning the severity of our  situation  needs to watch this immediately hospital  covid19   https twittercomdandewsburyTV status1260313800911224837   …
579,2 extra discount for online payment not given Any special relief Required due to this  covid19   situation 
580, Lockdown4  sounds like an incremental update some nip and tuck With COVID19  not even peaked yet we might just get to see lockdown12ProMAX  Hoping for the best for  India 
581,How people can be so irresponsible  even in this  covid19   situation   hospitals are working foe profit  https twittercomGIRIRAKESH18s tatus1271688829762539520   …
582,Prime Minister Modi announces  extension  of nationwide  lockdown  in  India  till May 3rd  https ifttt2XAoDss  
583,The  situation  caused by  covid19  is hardly something anyone could foresee last year ‘Financially insolvent’ is very poorly chosen
584,But its his leadership skills that brought us into the  situation  were in today If America still had a leader global powers would have worked together and like with SARS or MARS viruses  COVID19  would have stopped before spreading Maybe Im wrong
585,Parents make the decision as to whether they will allow their children to enter a  COVID19   situation   any parent could be accused of child abuseneglect if their child contracted  Covid19 
586,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
587,If we cross 10000 cases and around 250 deaths by the end of Lockdown21   then without min 14 days  extension  of  lockdown  barring states with single digit cases or below 50 casesor no fresh cases for last 14 days it could be a bloodbath in  India 
588,Ministry of Home Affairs Government of  India  issues order to further extend lockdown  till 31st May 2020 with effect from 18th May 2020  Lockdown4  lockdownextension    Read here  httpswww mhagovinsitesdefault filesMHAOrderextension1752020pdf   …  FobChapra pictwittercom7cPtfnq2ex
589, HCILondon  RuchiGhanashyam  ncbn  PawanKalyan   I’m a student from UCLAN in Preston England  I have withdrawed from university before  covid19   situation  and now struggling alot in United Kingdom I’m  from AP Please allot flights for AP too or else allow us for Hyderabad
590,I think I agree in principle Though Im assuming what may be going on is memory holing  Covid19  for optics Id imagine theyd get blasted fairly hard if theres any kind of suggestion that  Covid19  takes priority over protesting considering the scale of the  situation 
591,With a number of job postings frozen due to the COVID19   situation  I was starting to get desperate and was willing to take calls from just about any company Its when I recieved a call from an HR from a Co called Teamware Solutions a staffing company 223
592, Mortgage  borrowers that have been adversely affected financially by COVID19  may consider requesting to take a mortgagepaymentholiday  on their residential or buytolet mortgage for up to three months to help their financial  situation     http orloukhWMTS     chestertweets pictwittercomZfr4eQwqZ8
593,11 May 20  COVID19    situation  in Africa   https africacdcorgcovid19   pictwittercomnlTcbg4vpB
594, IndiaFightsCOVID19  Lockdown2   Lockdown  will be extended across  India  till May 3 Relaxation may be given in safe areas post 20th April Govt to issue a guideline on the extended  lockdown  tomorrow Honble narendramodi  PMOIndia httpswww youtubecomwatchvF07fXd 4vVlg   …
595,Lockdown  in India  Extended Till May 3rd  2020   Lockdown2  CoronavirusOutbreakindia  covidindia
596,Rouhani compares the  situation  in Iran developed countries in terms of managing COVID19  saying  “We have seen confused officials  duplication of decisions in some of these countries”  Reminder In Iran anyone announcing real status  fatality rates are imprisoned or sacked  pictwittercomXWLfrDjYR2
597,Maybe monkeys and other animals are hungry due to the current  situation  covid19    so they chewed the test kits 
598,Mumbai is well prepared for any kind of emergency  situation  There’re several Quarantine  zones in Mumbai to accommodate patients but we may require more as the number of patients are increasing day by day Hence the Talks with Relaince and BMC  is Underway COVID19   pictwittercomDoIjf8D6Hk
599,Dear Customer please note as Government of  India  extends the  lockdown  up to 31st May DGCA issues a Circular on  Covid  19   lockdown   extension  travel and visa restrictions dated 17th May 2020  https twittercomDGCAIndiastat us1262042588481118208   …
600,If you follow davidicke  you might as well judge the Tanzanian MagufuliJP  president less and perhaps yearn to listen to why he is handling the  situation  as he is COVID19  lockdowneffect pictwittercomXwy7bqTifQ
601,Just watched Contagion  pretty freeky that the current COVID19   situation  was the storyline of a 2011 film 
602,Ya generally on opposite side can be redemption pressure also let’s watch FII action for next couple of days whether they continue with same approach  lot depends upon  covid  cases in  India    lockdown   extension 
603, LearningConnects  COVID19  Our aim is to capture any development so that tomorrow we can be better equipped to recover  provide adequate responses to any unexpected  situation ” Discover BUNews  story shared by MahdiKleibo  on our onlineresilience  blog  http owlyecSz50zEVVr   pictwittercomDQRmVTKCJm
604,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
605,Dont worry if LockdownExtended  for some more days It is for us  our family  do remember 1 thing that v r lucky enough that v r with our family Cause millions r losing their lives 2 spend time like us wid their families Lockdown4  COVID  19  india  lockdownindia  lockdown
606,It was good decision for  India   India  will extend  lockdown  till May 3  IndiaFightsCOVID19   StayHome   Lockdown2
607,Lockdown  extended till 3rd May Stay safe stay at home God bless   COVID2019  Lockdown2  india  NarendraModiji  staysafe  StayHomeIndia  IndiaFightsCorona
608,Any announcement with a fixed date that is they have made an economic decision not based on the  COVID19   situation  sounds like Westminster
609,Seems to be bad news This could have been avoided at this time of geo political tensions with ChinaIndiaFaceoff  and COVID19   situation 
610,I think  India  China issue is the problem no major news flow   lockdown   extension  or open up clarity
611,My Dada passed away in Ramzan we cant even hug or shake hands on Eid due to  Covid19    This ad prefectly depicts my  situation  rn EidUlFitr pictwittercomuPuvzaIjuC
612,“If the  situation  is not under control in Montreal  we will not be reopening schools or businesses by May 25 says premier Legault Schools might even be pushed back to September Quebec  COVID19
613,As for the PPE  This is  situation  if you are older or vulnerable person you get extra PPE regardless White  BAME  Other BAME not in this group you are still more likely to die with  Covid19  but the Govt is not giving any extra help or guidance  that makes us feel undervalued
614,The current  situation  has exposed some of the most gaping problems of the US health economy medical experts say  COVID19  healthcare https twittercomchrissyfarrst atus1257801188252119040   …
615,Any one tell the  situation  of corona in pakistan As i watched people were celebrating eid without any mask and social distance  i think corona has died with his own self respect     Corona   EidMubarak   HappyEid   COVID19
616,Someone somewhere is not happy with the control of COVID19  in  India  courtesy the Lockdown   and now Lockdown2  is there I was wondering if that person is RahulGandhi  and he is instigating MigrantWorkers  with his Leftists   MediaBolsheviks  friends
617,Motorola Razr 2019  India  Sale Date Postponed Once Again to May 6 Post  Lockdown   Extension   https googleblogsitemotorolarazr 2019indiasaledatepostponedonceagaintomay6postlockdownextension   …
618, COVID19  threatens construction projects with delay or cancellation   Take a look at the  situation  in the  httpswww buildupeuennode59377   pictwittercomvU9dAhiYwe
619,Breaking in   India  crosses 10000 mark of  Corona  cases  1st 5000 cases  69 days 2nd 5000 cases  6 DAYS  JUST LOOK AT THE DIFFERENCE  MEANWHILE PM Modi to declared  lockdown  till 3 may  narendramodi   IndiaFightsCorona  Lockdown2
620,A lastminute cancellation sure doesnt seem like its going to be good news  I wonder whats happened looking at the current  situation  as a whole including WWEs dubious reaction so far IMO they have found more people in their ranks have  COVID19  thats the most likely
621,I awaken to some news  there is something hopeful to see that I havent seen in a long time since March 25th2020  start of Nevadashutdown  according to the GovSisolak  NVHealthRespon1   situation  report It appears NO ONE IN Nevada  died of coronavirus  COVID19  yesterday NV pictwittercomVFzie6LLay
622,45 of 50 states are under  lockdown  in USA till 30 th April Thanks to TabhleegiJamaat   India  may go for  extension  Authorities are still trying to establish the chain of these idiots It might be extended by 7 days My gut feel
623,During This  Situation covid19  motivation  is Required For Labor Employee Working Person or businessowners    Who are Working From home  So I just Wish You Keep Working From homeoffice  And staysafe  staystrong  stayhealthy   mumbraservices  covid19  inthistogether pictwittercomxfXGclCxxk
624,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
625,Anyone has any news what is happening tom any guidelines  mumbai  maharashtra  india  government  govt  lockdown  lockdown4
626,Because of the CARES Act you may not need or want to take your first RMD this year Let’s talk further about how this impacts your financial  situation  Retirement  RMD  COVID19  CARESact   httpswww forbescomsitesashleaeb eling20200327congresssuspendsrequiredminimumdistributionsfor401ksandirasfor2020openingwindowtotaxsavings44e5c7fc2cb6   … pictwittercom6BoYaRwVcx
627,How students suppose to pay rent at  covid19   situation  requesting Government to forgive 3 months rents PromoteStudentsSaveFuture
628,I didnt think Govt has other option Govt expect Zero New cases from atleast 10th Apr Else we may have an lockdown   extension   to next 2 months Foreign travellers should be banned inside  India  for next 1 year or till Zero cases of Corona  across world
